Test,item,result,spec lower,spec upper,fill,Test_conditions,Spring,spec_result,Notes
Depth injection,1,6.7207,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,2,6.8084,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,3,6.789,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,4,6.7693,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,5,6.7454,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,6,6.7938,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,7,6.6564,2.34,,1ml,Standard,Weak,2.8,Depth injection
Depth injection,8,6.6074,2.34,,1ml,Standard,Weak,2.8,Depth injection
Depth injection,9,6.8109,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,10,6.7765,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,11,6.8304,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,12,6.8938,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,13,6.7774,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,14,6.7091,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,15,6.6141,2.34,,1ml,Standard,Weak,2.8,Depth injection
Depth injection,16,6.563,2.34,,1ml,Standard,Weak,2.8,Depth injection
Depth injection,17,6.687,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,18,6.8051,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,19,6.9356,2.34,,1ml,Standard,Weak,3,Depth injection
Depth injection,20,6.9172,2.34,,1ml,Standard,Weak,3,Depth injection
Depth injection,21,6.75,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,22,6.7796,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,23,6.6786,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,24,6.6335,2.34,,1ml,Standard,Weak,2.8,Depth injection
Depth injection,25,6.8274,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,26,6.9028,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,27,6.9051,2.34,,1ml,Standard,Weak,3,Depth injection
Depth injection,28,6.7795,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,29,6.7006,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,30,6.7911,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,31,6.726,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,32,6.777,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,33,6.7938,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,34,6.8017,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,35,6.7677,2.34,,1ml,Standard,Weak,2.9,Depth injection
Depth injection,36,6.875,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,37,6.73,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,38,6.6804,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,39,6.7608,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,40,6.6577,2.34,,1ml,Standard,Strong,2.8,Depth injection
Depth injection,41,6.7966,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,42,6.8256,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,43,6.7795,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,44,6.9914,2.34,,1ml,Standard,Strong,3,Depth injection
Depth injection,45,6.8889,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,46,6.6812,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,47,6.685,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,48,6.8826,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,49,6.9172,2.34,,1ml,Standard,Strong,3,Depth injection
Depth injection,50,6.9,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,51,6.8556,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,52,6.9654,2.34,,1ml,Standard,Strong,3,Depth injection
Depth injection,53,6.7762,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,54,6.8538,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,55,6.5746,2.34,,1ml,Standard,Strong,2.8,Depth injection
Depth injection,56,6.7489,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,57,6.7209,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,58,6.7902,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,59,6.9048,2.34,,1ml,Standard,Strong,3,Depth injection
Depth injection,60,6.7469,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,61,6.7577,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,62,6.8989,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,63,6.4376,2.34,,1ml,Standard,Strong,2.8,Depth injection
Depth injection,64,6.8793,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,65,6.7864,2.34,,1ml,Standard,Strong,2.9,Depth injection
Depth injection,66,6.7503,2.34,,1ml,Standard,Strong,2.9,Depth injection
